me	91646	 44.6074	-69.3977
ri	3140	41.6772	-71.5101
ct	14356	41.5834	-72.7622
ny	141299	42.1497	-74.9384
tx	696241	31.1060	-97.6475
nm	315194	34.8375	-106.2371
az	295254	33.7712	-111.3877
co	269837	39.0646	-105.3272
nv	286367	38.4199	-117.1219
ca	423970	6.1700	-119.7462
ut	219887	40.1135	-111.8535
wy	253348	42.7475	-107.2085
id	216632	44.2394	-114.5103
or	255026	44.5672	-122.1269
mt	381156	46.9048	-110.3261
wa	184827	47.3917	-121.5708
ok	181195	35.5376	-96.9247
ks	213096	38.5111	-96.8005
ne	200520	41.1289	-98.2883
vt	24923	44.0407	-72.7093
nh	24217	43.4108	-71.5653
ma	27336	42.2373	-71.5314
fl	170304	27.8333	-81.7170
la	135382	31.1801	-91.8749
ms	125443	32.7673	-89.6812
al	135765	32.7990	-86.8073
ga	153909	32.9866	-83.6487
sc	82931.8	33.8191	-80.9066
nc	139509	35.6411	-79.8431
tn	109247	35.7449	-86.7489
ky	104659	37.6690	-84.6514
va	110785.67	37.7680	-78.2057
wv	62755	38.4680	-80.9696
pa	119283	40.5773	-77.2640
de	6452	39.3498	-75.5148
md	32133	39.0724	-76.7902
nj	22608	40.3140	-74.5089
oh	116096	40.3736	-82.7755
in	94321	39.8647	-86.2604
mi	253793	43.3504	-84.5603
mn	225181	45.7326	-93.9196
nd	183272	47.5362	-99.7930
sd	199905	44.2853	-99.4632
mo	180533	38.4623	-92.3020
ia	145743	42.0046	-93.2140
il	140998	40.3363	-89.0022
wi	169639	44.2563	-89.6385
ar	137002	34.9513	-92.3809
